"","Avg.open.flowers.per.inflorescence","Total.inflorescenses","Honeybees","Volume","Sugar_conc","Sugar_content","Volume_var","Sugar_conc_var","Sugar_content_var","Temperature","Speed","Solar","Clustered","Pair","Plant.Number","Experiment.Week","Size","Date","East","Visits"
"1",1.82736927305383,1.91381385238372,1.14612803567824,0.183269843682805,-0.408806132543706,-0.201565174507442,-0.335255220683919,-2.10192407905218,-0.909894531493152,1.74973631556906,-1,2.0769133845918,0,1,1,1,"Large","5/17/2017",1,TRUE
"2",1.66086547800387,1.51851393987789,0.301029995663981,0.30776337832295,-0.360146810415443,-0.0846166556264063,-0.233114879028189,-1.88681612981369,-2.19291310094782,1.75204844781944,-1,2.09034624350567,0,1,1,1,"Small","5/17/2017",1,FALSE
"3",1.75587485567249,1.27875360095283,0.778151250383644,0.153814864344529,-0.147676459983812,-0.0104945641630454,-0.144130809006041,-1.61906585265007,-0.683878310538326,1.74896286125616,0,2.02887612773623,1,2,1,1,"Large","5/17/2017",1,TRUE
"4",1.73239375982297,1,0,0.32990612340021,-0.291184807715939,0.0313579619570265,-0.405210494758232,-2.18403224336031,-1.00059913722495,1.74973631556906,-1,2.0769133845918,1,2,1,1,"Small","5/17/2017",1,FALSE
"5",1.79934054945358,1.51851393987789,0.698970004336019,0.0881360887005513,-0.250263684430939,-0.180373819503449,0.0729159055161856,-2.13548891894161,-0.511226156822312,1.75204844781944,-1,2.09034624350567,0,3,1,1,"Large","5/17/2017",0,TRUE
"6",1.52633927738984,1.04139268515823,0,0.250724877352585,-0.214670164989233,0.0599300658604894,0.275707165439663,-1.91364016932525,0.0558843246188482,1.7481880270062,-1,2.16323593837009,0,3,1,1,"Small","5/17/2017",0,FALSE
"7",1.72427586960079,1.60205999132796,0.301029995663981,0.176091259055681,-0.281221602310429,-0.151041539172505,-0.0262229227369812,-1.72970944683324,-0.915753365843369,1.73399928653839,0.255272505103306,-0.204119982655925,1,4,1,1,"Large","5/17/2017",0,FALSE
"8",1.15381486434453,0.602059991327962,0,-0.0737862141609187,-0.263603497723358,-0.343183361955831,-0.481383256362157,-3.34678748622466,-1.05971703602474,1.73399928653839,0.255272505103306,-0.204119982655925,1,4,1,1,"Small","5/17/2017",0,FALSE
"9",1.57978359661681,1.60205999132796,0.477121254719662,-0.185419483989681,-0.216984004003049,-0.406492410668235,-0.900208792718951,-3.45787461814101,-1.37816638204167,1.73399928653839,0.255272505103306,-0.204119982655925,0,5,1,1,"Large","5/17/2017",0,TRUE
"10",1.3096301674259,0.698970004336019,0,-0.716274862544489,-0.433827747604377,-1.08689012929056,-1.97540424186335,-1.44565656732634,-2.23791113630898,1.73399928653839,0.255272505103306,-0.204119982655925,0,5,1,1,"Small","5/17/2017",0,FALSE
"12",1.47712125471966,0.954242509439325,0.477121254719662,0.177446313140647,-0.325131081719061,-0.135934120909763,-0.298923018721195,-2.77102394722063,-0.766471302107146,1.75204844781944,-1,2.09034624350567,1,6,1,1,"Small","5/17/2017",0,TRUE
"13",1.53402610605614,1.77085201164214,1.63346845557959,-0.0332066625751431,-0.354507560286119,-0.368450545215619,-0.773178406359269,-2.09233211331791,-1.28393900576536,1.94250410616808,0.544068044350276,2.9751444816831,0,1,1,2,"Large","5/23/2017",1,TRUE
"14",1.47129171105894,1.43136376415899,1.54406804435028,0.118099312084612,-0.430260682542927,-0.392701386712282,-0.457796976904706,-1.48257303701612,-2.07078401953899,1.9304395947667,0.431363764158987,2.9278193125545,0,1,1,2,"Small","5/23/2017",1,TRUE
"16",1.36172783601759,0.903089986991944,0.698970004336019,0.187990482336609,-0.250263684430939,-0.0526479815504756,-0.15177761163092,-1.79533748825178,-0.526706813985101,1.93500315145365,0.255272505103306,2.91149052901838,1,2,1,2,"Small","5/23/2017",1,FALSE
"17",1.89209460269048,1.64345267648619,1.27875360095283,-0.149762320243408,-0.283715733172668,-0.479461883659259,-0.789095082891515,-1.49458216451313,-1.47495299215234,1.93751789201735,0.431363764158987,2.96112434346939,0,3,1,2,"Large","5/23/2017",0,FALSE
