"","Date","Experiment.Week","Location","Plant.Number","Pair","Size","Start.Time","End.Time","Avg.open.flowers.per.inflorescence","Total.inflorescenses","Total.Flowers","Honeybees","Volume","Sugar_conc","Sugar_content","Volume_var","Sugar_conc_var","Sugar_content_var","Temperature","Humidity","Wind","Speed","Gust","Pressure","Solar","Clustered","East","hotDay","visits"
"11","5/17/2017","1","Pair 6 Large","1","6","Large","2017-05-17 10:55:00","2017-05-17 11:10:00",2.02665581387704,1.86923171973098,3.89588753360802,0.954242509439325,0.545616332913136,-0.368105083353558,0.177511249516651,NA,NA,NA,1.7481880270062,"76%","West",-1,"5.1mph","29.98in",2.16323593837009,TRUE,FALSE,FALSE,TRUE
"12","5/17/2017","1","Pair 6 Small","1","6","Small","2017-05-17 11:28:00","2017-05-17 11:43:00",1.47712125471966,0.954242509439325,2.43136376415899,0.477121254719662,0.177446313140647,-0.325131081719061,-0.135934120909763,-0.298923018721195,-2.77102394722063,-0.766471302107146,1.75204844781944,"74%","SSW",-1,"3.4mph","29.98in",2.09034624350567,TRUE,FALSE,FALSE,TRUE
"13","5/23/2017","2","Pair 1 Large","1","1","Large","2017-05-23 11:20:00","2017-05-23 11:35:00",1.53402610605614,1.77085201164214,3.30487811769828,1.63346845557959,-0.0332066625751431,-0.354507560286119,-0.368450545215619,-0.773178406359269,-2.09233211331791,-1.28393900576536,1.94250410616808,"36%","SW",0.544068044350276,"9.4mph","29.96in",2.9751444816831,FALSE,TRUE,TRUE,TRUE
"14","5/23/2017","2","Pair 1 Small","1","1","Small","2017-05-23 10:50:00",NA,1.47129171105894,1.43136376415899,2.90265547521793,1.54406804435028,0.118099312084612,-0.430260682542927,-0.392701386712282,-0.457796976904706,-1.48257303701612,-2.07078401953899,1.9304395947667,"38%","SW",0.431363764158987,"7.7mph","29.97in",2.9278193125545,FALSE,TRUE,TRUE,TRUE
"15","5/23/2017","2","Pair 2 Large","1","2","Large","2017-05-23 11:11:00","2017-05-23 11:26:00",1.47712125471966,1.36172783601759,2.83884909073726,1.46239799789896,-0.255272505068562,-0.193820026016113,-0.449092531065132,NA,NA,NA,1.94250410616808,"36%","SW",0.544068044350276,"9.4mph","29.96in",2.9751444816831,TRUE,TRUE,TRUE,TRUE
"16","5/23/2017","2","Pair 2 Small","1","2","Small","2017-05-23 10:32:00","2017-05-23 10:47:00",1.36172783601759,0.903089986991944,2.26481782300954,0.698970004336019,0.187990482336609,-0.250263684430939,-0.0526479815504756,-0.15177761163092,-1.79533748825178,-0.526706813985101,1.93500315145365,"37%","SSW",0.255272505103306,"6mph","29.97in",2.91149052901838,TRUE,TRUE,TRUE,FALSE
"17","5/23/2017","2","Pair 3 Large","1","3","Large","2017-05-23 11:06:00","2017-05-23 11:21:00",1.89209460269048,1.64345267648619,3.53554727917667,1.27875360095283,-0.149762320243408,-0.283715733172668,-0.479461883659259,-0.789095082891515,-1.49458216451313,-1.47495299215234,1.93751789201735,"35%","West",0.431363764158987,"7.7mph","29.97in",2.96112434346939,FALSE,FALSE,TRUE,FALSE
"18","5/23/2017","2","Pair 3 Small","1","3","Small","2017-05-23 10:39:00","2017-05-23 11:54:00",1.44715803134222,0.954242509439325,2.40140054078154,0.602059991327962,-0.477121254684919,-0.21838821750685,-0.638691975017,-1.81157500580111,-0.940598668172692,-1.57615299946027,1.9304395947667,"38%","SW",0.431363764158987,"7.7mph","29.97in",2.9278193125545,FALSE,FALSE,TRUE,FALSE
"19","5/23/2017","2","Pair 4 Large","2","4","Large","2017-05-23 12:01:00","2017-05-23 12:16:00",1.65321251377534,1.60205999132796,3.25527250510331,1.7160033436348,-0.051152522432181,-0.166656166573081,-0.295611134845061,-0.34964524999473,-1.36546769384136,-1.39903955547094,1.79239168949825,"70%","NW",-1,"1.7mph","30.01in",-0.204119982655925,TRUE,FALSE,FALSE,TRUE
"20","5/23/2017","2","Pair 4 Small","1","4","Small","2017-05-23 11:35:00","2017-05-23 11:50:00",1.69897000433602,0.903089986991944,2.60205999132796,1.41497334797082,-0.0720026613293708,-0.224483849098379,-0.314556848184696,-1.09400851253529,-1.61529761029432,-1.82812848580604,1.95712819767681,"29%","WSW",0.544068044350276,"11.9mph","29.97in",3.00135505408497,TRUE,FALSE,TRUE,FALSE
